# stamp t_recv t_estimated err ground_truth t_send
4360 1712823005.772608000 1712823005.752069817 8.67362e-19 1712823005.752607 1712823005.771594
4385 1712823005.797587000 1712823005.777069817 8.67362e-19 1712823005.777608 1712823005.796543
4410 1712823005.822731000 1712823005.802069817 8.67362e-19 1712823005.802609 1712823005.821567
4435 1712823005.847642000 1712823005.827069817 8.67362e-19 1712823005.827610 1712823005.846557
4460 1712823005.872654000 1712823005.852069817 8.67362e-19 1712823005.852611 1712823005.871563
4485 1712823005.897817000 1712823005.877069817 8.67362e-19 1712823005.877612 1712823005.896559
4510 1712823005.922718000 1712823005.902069817 8.67362e-19 1712823005.902613 1712823005.921575
4535 1712823005.947826000 1712823005.927069817 8.67362e-19 1712823005.927614 1712823005.946561
4560 1712823005.972728000 1712823005.952069817 8.67362e-19 1712823005.952615 1712823005.971597
4585 1712823005.997688000 1712823005.977069817 8.67362e-19 1712823005.977616 1712823005.996560
4610 1712823006.022819000 1712823006.002069817 8.67362e-19 1712823006.002617 1712823006.021608
4635 1712823006.047788000 1712823006.027069817 8.67362e-19 1712823006.027618 1712823006.046554
4660 1712823006.072725000 1712823006.052069817 8.67362e-19 1712823006.052619 1712823006.071560
4685 1712823006.097779000 1712823006.077069817 8.67362e-19 1712823006.077620 1712823006.096544
4710 1712823006.122617000 1712823006.102069817 8.67362e-19 1712823006.102621 1712823006.121521
4735 1712823006.147693000 1712823006.127069817 8.67362e-19 1712823006.127622 1712823006.146530
4760 1712823006.172657000 1712823006.152069817 8.67362e-19 1712823006.152623 1712823006.171552
4785 1712823006.197743000 1712823006.177069817 8.67362e-19 1712823006.177624 1712823006.196527
4810 1712823006.222664000 1712823006.202069817 8.67362e-19 1712823006.202625 1712823006.221537
4835 1712823006.247590000 1712823006.227069817 8.67362e-19 1712823006.227626 1712823006.246527
4860 1712823006.272667000 1712823006.252069817 8.67362e-19 1712823006.252627 1712823006.271553
4885 1712823006.297834000 1712823006.277069817 8.67362e-19 1712823006.277628 1712823006.296533
4910 1712823006.322620000 1712823006.302069817 8.67362e-19 1712823006.302629 1712823006.321561
4935 1712823006.347827000 1712823006.327069817 8.67362e-19 1712823006.327630 1712823006.346579
4960 1712823006.372701000 1712823006.352069817 8.67362e-19 1712823006.352631 1712823006.371558
